index,method,path,operationId,tag,summary,auth,requestBody,pathParams,queryParams,headers,successResponses,errorResponses,testType,destructiveLevel,canRunOnProductionPublic,requiresCanaryData,requiredVariables,precondition,expectedResult,evidenceToSave,postmanFolder,postmanRequestName
1,GET,/health/live,DocOpHealthLive,Health,Liveness probe,none,no,,,,200,,smoke,READ_ONLY,yes,no,baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,00_Preflight,GET /health/live
2,GET,/health/ready,DocOpHealthReady,Health,Readiness probe,none,no,,,,200,503,smoke,READ_ONLY,yes,no,baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,00_Preflight,GET /health/ready
3,GET,/metrics,DocOpMetrics,System,Prometheus metrics scrape (public listener; optional),none,no,,,,200,"401,404",smoke,READ_ONLY,partial,no,baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,16_System_Health_Metrics,GET /metrics
4,GET,/swagger/doc.json,DocOpSwaggerDocJSON,System,OpenAPI 3.0 document (embedded),none,no,,,,200,,smoke,READ_ONLY,partial,no,baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,00_Preflight,GET /swagger/doc.json
5,GET,/swagger/index.html,DocOpSwaggerIndex,System,Swagger UI (HTML),none,no,,,,200,,smoke,READ_ONLY,partial,no,baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,00_Preflight,GET /swagger/index.html
6,GET,/v1/admin/activation-codes,DocOpV1AdminActivationCodesCatalogList,Activation,List activation codes across machines (admin catalog),bearer,no,,,Authorization;X-Request-ID;X-Correlation-ID,200,,smoke,READ_ONLY,partial,no,accessToken;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,05_Machines_Provisioning_Activation,GET /v1/admin/activation-codes
7,POST,/v1/admin/activation-codes,DocOpV1AdminActivationCodesCatalogCreate,Activation,Create activation code (catalog path; targets machine in body),bearer,yes,,,Idempotency-Key;Authorization;X-Request-ID;X-Correlation-ID,201,,canary_setup,DESTRUCTIVE_CANARY_ONLY,no,yes,accessToken;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,05_Machines_Provisioning_Activation,POST /v1/admin/activation-codes
8,POST,/v1/admin/activation-codes/{codeId}/revoke,DocOpV1AdminActivationCodeCatalogRevoke,Activation,Revoke activation code by id (catalog path),bearer,no,codeId,,Idempotency-Key;Authorization;X-Request-ID;X-Correlation-ID,200,,regression,DANGEROUS_PRODUCTION_DO_NOT_RUN,no,yes,accessToken;baseUrl;codeId,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,05_Machines_Provisioning_Activation,POST /v1/admin/activation-codes/{codeId}/revoke
9,GET,/v1/admin/anomalies,DocOpV1AdminOperationalAnomaliesList,Inventory,List operational anomalies,bearer,no,,,Authorization;X-Request-ID;X-Correlation-ID,200,,smoke,READ_ONLY,partial,no,accessToken;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,GET /v1/admin/anomalies
10,GET,/v1/admin/anomalies/{anomalyId},DocOpV1AdminOperationalAnomalyGet,Inventory,Get operational anomaly,bearer,no,anomalyId,,Authorization;X-Request-ID;X-Correlation-ID,200,,smoke,READ_ONLY,partial,no,accessToken;anomalyId;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,GET /v1/admin/anomalies/{anomalyId}
11,POST,/v1/admin/anomalies/{anomalyId}/ignore,DocOpV1AdminOperationalAnomalyIgnore,Inventory,Ignore operational anomaly,bearer,no,anomalyId,,Idempotency-Key;Authorization;X-Request-ID;X-Correlation-ID,200,,canary_admin,DESTRUCTIVE_CANARY_ONLY,no,yes,accessToken;anomalyId;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,POST /v1/admin/anomalies/{anomalyId}/ignore
12,POST,/v1/admin/anomalies/{anomalyId}/resolve,DocOpV1AdminOperationalAnomalyResolve,Inventory,Resolve operational anomaly,bearer,no,anomalyId,,Idempotency-Key;Authorization;X-Request-ID;X-Correlation-ID,200,,canary_admin,DESTRUCTIVE_CANARY_ONLY,no,yes,accessToken;anomalyId;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,POST /v1/admin/anomalies/{anomalyId}/resolve
13,GET,/v1/admin/artifacts,DocOpV1AdminArtifactsList,Artifacts,List artifacts,bearer,no,,,Authorization;X-Request-ID;X-Correlation-ID,200,"400,401,403,500",smoke,READ_ONLY,partial,no,accessToken;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,GET /v1/admin/artifacts
14,POST,/v1/admin/artifacts,DocOpV1AdminArtifactsReserve,Artifacts,Reserve artifact id,bearer,no,,,Authorization;X-Request-ID;X-Correlation-ID,201,"400,401,403,429,500",canary_admin,DESTRUCTIVE_CANARY_ONLY,no,yes,accessToken;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,POST /v1/admin/artifacts
15,DELETE,/v1/admin/artifacts/{artifactId},DocOpV1AdminArtifactsDelete,Artifacts,Delete artifact,bearer,no,artifactId,,Authorization;X-Request-ID;X-Correlation-ID,200,"400,401,403,404,429,500",regression,DANGEROUS_PRODUCTION_DO_NOT_RUN,no,yes,accessToken;artifactId;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,DELETE /v1/admin/artifacts/{artifactId}
16,GET,/v1/admin/artifacts/{artifactId},DocOpV1AdminArtifactsGet,Artifacts,Get artifact metadata,bearer,no,artifactId,,Authorization;X-Request-ID;X-Correlation-ID,200,"400,401,403,404,500",smoke,READ_ONLY,partial,no,accessToken;artifactId;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,GET /v1/admin/artifacts/{artifactId}
17,PUT,/v1/admin/artifacts/{artifactId}/content,DocOpV1AdminArtifactsPutContent,Artifacts,Upload artifact bytes,bearer,no,artifactId,,Authorization;X-Request-ID;X-Correlation-ID,200,"400,401,403,404,429,500",canary_admin,DESTRUCTIVE_CANARY_ONLY,no,yes,accessToken;artifactId;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,PUT /v1/admin/artifacts/{artifactId}/content
18,GET,/v1/admin/artifacts/{artifactId}/download,DocOpV1AdminArtifactsDownloadURL,Artifacts,Presigned download URL,bearer,no,artifactId,,Authorization;X-Request-ID;X-Correlation-ID,200,"400,401,403,404,500",smoke,READ_ONLY,partial,no,accessToken;artifactId;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,GET /v1/admin/artifacts/{artifactId}/download
19,GET,/v1/admin/assignments,DocOpV1AdminAssignmentsList,Machine Admin,List technician assignments (admin),bearer,no,,technician_id;machine_id;from;to;limit;offset,Authorization;X-Request-ID;X-Correlation-ID,200,"400,401,403,500",smoke,READ_ONLY,partial,no,accessToken;baseUrl;from;limit;machineId;offset;technicianId;to,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,05_Machines_Provisioning_Activation,GET /v1/admin/assignments
20,POST,/v1/admin/assignments,DocOpV1AdminAssignmentCreate,Machine Admin,Create technician assignment,bearer,yes,,,Authorization;X-Request-ID;X-Correlation-ID,201,,canary_admin,DESTRUCTIVE_CANARY_ONLY,no,yes,accessToken;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,05_Machines_Provisioning_Activation,POST /v1/admin/assignments
21,DELETE,/v1/admin/assignments/{assignmentId},DocOpV1AdminAssignmentDelete,Machine Admin,Release assignment (delete),bearer,no,assignmentId,,Authorization;X-Request-ID;X-Correlation-ID,200,,regression,DANGEROUS_PRODUCTION_DO_NOT_RUN,no,yes,accessToken;assignmentId;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,05_Machines_Provisioning_Activation,DELETE /v1/admin/assignments/{assignmentId}
22,GET,/v1/admin/assignments/{assignmentId},DocOpV1AdminAssignmentGet,Machine Admin,Get technician–machine assignment by id,bearer,no,assignmentId,,Authorization;X-Request-ID;X-Correlation-ID,200,,smoke,READ_ONLY,partial,no,accessToken;assignmentId;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,05_Machines_Provisioning_Activation,GET /v1/admin/assignments/{assignmentId}
23,GET,/v1/admin/audit/events,DocOpV1AdminAuditEventsList,Audit Admin,List enterprise audit events,bearer,no,,action;actorId;actorType;outcome;resourceType;resourceId;machineId;from;to;limit;offset,Authorization;X-Request-ID;X-Correlation-ID,200,"400,401,403,500",smoke,READ_ONLY,partial,no,accessToken;action;actorId;actorType;baseUrl;from;limit;machineId;offset;outcome;resourceId;resourceType;to,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,14_Reporting_Audit_Exports,GET /v1/admin/audit/events
24,GET,/v1/admin/audit/events/{auditEventId},DocOpV1AdminAuditEventGet,Audit Admin,Get one enterprise audit event by id,bearer,no,auditEventId,,Authorization;X-Request-ID;X-Correlation-ID,200,"400,401,403,404,500",smoke,READ_ONLY,partial,no,accessToken;auditEventId;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,14_Reporting_Audit_Exports,GET /v1/admin/audit/events/{auditEventId}
25,GET,/v1/admin/auth/users,DocOpV1AdminAuthUsersList,Auth Admin,List API accounts for an company (admin),bearer,no,,limit;offset,Authorization;X-Request-ID;X-Correlation-ID,200,"400,401,403,500",smoke,READ_ONLY,partial,no,accessToken;baseUrl;limit;offset,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,GET /v1/admin/auth/users
26,POST,/v1/admin/auth/users,DocOpV1AdminAuthUsersCreate,Auth Admin,Create API account (admin),bearer,yes,,,Authorization;X-Request-ID;X-Correlation-ID,201,"400,401,403,409,429,500",canary_admin,DESTRUCTIVE_CANARY_ONLY,no,yes,accessToken;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,POST /v1/admin/auth/users
27,GET,/v1/admin/auth/users/{accountId},DocOpV1AdminAuthUsersGet,Auth Admin,Get API account by id (admin),bearer,no,accountId,,Authorization;X-Request-ID;X-Correlation-ID,200,"400,401,403,404,500",smoke,READ_ONLY,partial,no,accessToken;accountId;baseUrl,writes: allow_destructive OR canaryMode OR readiness; bearer when auth=bearer,2xx per swagger,requestId; correlation; HTTP body; never log tokens,17_Negative_Security_Idempotency,GET /v1/admin/auth/users/{accountId}
