index,direction,protocol,topicLayout,topicPattern,topicConcrete,qos,retained,auth,payloadJsonTemplate,expectedBackendEffect,responseOrAckTopic,precondition,evidence,safetyLevel,vi,mosquittoPubExample,mosquittoSubExample,evidenceRelativePath
1,machine_publishes_backend_subscribes,mqtt,legacy,{{mqttTopicPrefix}}/+/telemetry,{{mqttTopicPrefix}}/{{machineId}}/telemetry,1,unknown_false_subscribe,Machine MQTT credentials (broker ACL),"{""schema_version"": 1, ""event_id"": ""{{$guid}}"", ""machine_id"": ""{{machineId}}"", ""dedupe_key"": ""avf-postman-{{$guid}}"", ""event_type"": ""telemetry"", ""payload"": {}}",mqtt-ingest router → JetStream / OLTP theo kênh,HTTP reconcile / application ack (không dùng PUBACK làm business ack),MQTT_TOPIC_LAYOUT legacy,metrics avf_mqtt_ingest_* ; dedupe_key,DESTRUCTIVE_CANARY_ONLY,Legacy device→cloud: telemetry (xem docs/api/mqtt-contract.md),"mosquitto_pub -h ""${MQTT_HOST}"" -p ""${MQTT_PORT:-8883}"" -u ""${MQTT_USERNAME}"" -P ""${MQTT_PASSWORD}"" -i ""${MQTT_CLIENT_ID:-avf-postman}"" -t ""{{mqttTopicPrefix}}/{{machineId}}/telemetry"" -q 1 -m '{""schema_version"": 1, ""event_id"": ""{{$guid}}"", ""machine_id"": ""{{machineId}}"", ""dedupe_key"": ""avf-postman-{{$guid}}"", ""event_type"": ""telemetry"", ""payload"": {}}'","mosquitto_sub -h ""${MQTT_HOST}"" -p ""${MQTT_PORT:-8883}"" -u ""${MQTT_USERNAME}"" -P ""${MQTT_PASSWORD}"" -i ""${MQTT_CLIENT_ID:-avf-postman-sub}"" -t ""{{mqttTopicPrefix}}/{{machineId}}/telemetry"" -q 1 -C 1",mqtt/evidence/001_legacy.log
2,machine_publishes_backend_subscribes,mqtt,legacy,{{mqttTopicPrefix}}/+/presence,{{mqttTopicPrefix}}/{{machineId}}/presence,1,unknown_false_subscribe,Machine MQTT credentials (broker ACL),"{""schema_version"": 1, ""event_id"": ""{{$guid}}"", ""machine_id"": ""{{machineId}}"", ""dedupe_key"": ""avf-postman-{{$guid}}"", ""event_type"": ""telemetry"", ""payload"": {}}",mqtt-ingest router → JetStream / OLTP theo kênh,HTTP reconcile / application ack (không dùng PUBACK làm business ack),MQTT_TOPIC_LAYOUT legacy,metrics avf_mqtt_ingest_* ; dedupe_key,DESTRUCTIVE_CANARY_ONLY,Legacy device→cloud: presence (xem docs/api/mqtt-contract.md),"mosquitto_pub -h ""${MQTT_HOST}"" -p ""${MQTT_PORT:-8883}"" -u ""${MQTT_USERNAME}"" -P ""${MQTT_PASSWORD}"" -i ""${MQTT_CLIENT_ID:-avf-postman}"" -t ""{{mqttTopicPrefix}}/{{machineId}}/presence"" -q 1 -m '{""schema_version"": 1, ""event_id"": ""{{$guid}}"", ""machine_id"": ""{{machineId}}"", ""dedupe_key"": ""avf-postman-{{$guid}}"", ""event_type"": ""telemetry"", ""payload"": {}}'","mosquitto_sub -h ""${MQTT_HOST}"" -p ""${MQTT_PORT:-8883}"" -u ""${MQTT_USERNAME}"" -P ""${MQTT_PASSWORD}"" -i ""${MQTT_CLIENT_ID:-avf-postman-sub}"" -t ""{{mqttTopicPrefix}}/{{machineId}}/presence"" -q 1 -C 1",mqtt/evidence/002_legacy.log
3,machine_publishes_backend_subscribes,mqtt,legacy,{{mqttTopicPrefix}}/+/state/heartbeat,{{mqttTopicPrefix}}/{{machineId}}/state/heartbeat,1,unknown_false_subscribe,Machine MQTT credentials (broker ACL),"{""schema_version"": 1, ""event_id"": ""{{$guid}}"", ""machine_id"": ""{{machineId}}"", ""dedupe_key"": ""avf-postman-{{$guid}}"", ""event_type"": ""telemetry"", ""payload"": {}}",mqtt-ingest router → JetStream / OLTP theo kênh,HTTP reconcile / application ack (không dùng PUBACK làm business ack),MQTT_TOPIC_LAYOUT legacy,metrics avf_mqtt_ingest_* ; dedupe_key,DESTRUCTIVE_CANARY_ONLY,Legacy device→cloud: state/heartbeat (xem docs/api/mqtt-contract.md),"mosquitto_pub -h ""${MQTT_HOST}"" -p ""${MQTT_PORT:-8883}"" -u ""${MQTT_USERNAME}"" -P ""${MQTT_PASSWORD}"" -i ""${MQTT_CLIENT_ID:-avf-postman}"" -t ""{{mqttTopicPrefix}}/{{machineId}}/state/heartbeat"" -q 1 -m '{""schema_version"": 1, ""event_id"": ""{{$guid}}"", ""machine_id"": ""{{machineId}}"", ""dedupe_key"": ""avf-postman-{{$guid}}"", ""event_type"": ""telemetry"", ""payload"": {}}'","mosquitto_sub -h ""${MQTT_HOST}"" -p ""${MQTT_PORT:-8883}"" -u ""${MQTT_USERNAME}"" -P ""${MQTT_PASSWORD}"" -i ""${MQTT_CLIENT_ID:-avf-postman-sub}"" -t ""{{mqttTopicPrefix}}/{{machineId}}/state/heartbeat"" -q 1 -C 1",mqtt/evidence/003_legacy.log
4,machine_publishes_backend_subscribes,mqtt,legacy,{{mqttTopicPrefix}}/+/telemetry/snapshot,{{mqttTopicPrefix}}/{{machineId}}/telemetry/snapshot,1,unknown_false_subscribe,Machine MQTT credentials (broker ACL),"{""schema_version"": 1, ""event_id"": ""{{$guid}}"", ""machine_id"": ""{{machineId}}"", ""dedupe_key"": ""avf-postman-{{$guid}}"", ""event_type"": ""telemetry"", ""payload"": {}}",mqtt-ingest router → JetStream / OLTP theo kênh,HTTP reconcile / application ack (không dùng PUBACK làm business ack),MQTT_TOPIC_LAYOUT legacy,metrics avf_mqtt_ingest_* ; dedupe_key,DESTRUCTIVE_CANARY_ONLY,Legacy device→cloud: telemetry/snapshot (xem docs/api/mqtt-contract.md),"mosquitto_pub -h ""${MQTT_HOST}"" -p ""${MQTT_PORT:-8883}"" -u ""${MQTT_USERNAME}"" -P ""${MQTT_PASSWORD}"" -i ""${MQTT_CLIENT_ID:-avf-postman}"" -t ""{{mqttTopicPrefix}}/{{machineId}}/telemetry/snapshot"" -q 1 -m '{""schema_version"": 1, ""event_id"": ""{{$guid}}"", ""machine_id"": ""{{machineId}}"", ""dedupe_key"": ""avf-postman-{{$guid}}"", ""event_type"": ""telemetry"", ""payload"": {}}'","mosquitto_sub -h ""${MQTT_HOST}"" -p ""${MQTT_PORT:-8883}"" -u ""${MQTT_USERNAME}"" -P ""${MQTT_PASSWORD}"" -i ""${MQTT_CLIENT_ID:-avf-postman-sub}"" -t ""{{mqttTopicPrefix}}/{{machineId}}/telemetry/snapshot"" -q 1 -C 1",mqtt/evidence/004_legacy.log
5,machine_publishes_backend_subscribes,mqtt,legacy,{{mqttTopicPrefix}}/+/telemetry/incident,{{mqttTopicPrefix}}/{{machineId}}/telemetry/incident,1,unknown_false_subscribe,Machine MQTT credentials (broker ACL),"{""schema_version"": 1, ""event_id"": ""{{$guid}}"", ""machine_id"": ""{{machineId}}"", ""dedupe_key"": ""avf-postman-{{$guid}}"", ""event_type"": ""telemetry"", ""payload"": {}}",mqtt-ingest router → JetStream / OLTP theo kênh,HTTP reconcile / application ack (không dùng PUBACK làm business ack),MQTT_TOPIC_LAYOUT legacy,metrics avf_mqtt_ingest_* ; dedupe_key,DESTRUCTIVE_CANARY_ONLY,Legacy device→cloud: telemetry/incident (xem docs/api/mqtt-contract.md),"mosquitto_pub -h ""${MQTT_HOST}"" -p ""${MQTT_PORT:-8883}"" -u ""${MQTT_USERNAME}"" -P ""${MQTT_PASSWORD}"" -i ""${MQTT_CLIENT_ID:-avf-postman}"" -t ""{{mqttTopicPrefix}}/{{machineId}}/telemetry/incident"" -q 1 -m '{""schema_version"": 1, ""event_id"": ""{{$guid}}"", ""machine_id"": ""{{machineId}}"", ""dedupe_key"": ""avf-postman-{{$guid}}"", ""event_type"": ""telemetry"", ""payload"": {}}'","mosquitto_sub -h ""${MQTT_HOST}"" -p ""${MQTT_PORT:-8883}"" -u ""${MQTT_USERNAME}"" -P ""${MQTT_PASSWORD}"" -i ""${MQTT_CLIENT_ID:-avf-postman-sub}"" -t ""{{mqttTopicPrefix}}/{{machineId}}/telemetry/incident"" -q 1 -C 1",mqtt/evidence/005_legacy.log
6,machine_publishes_backend_subscribes,mqtt,legacy,{{mqttTopicPrefix}}/+/events/vend,{{mqttTopicPrefix}}/{{machineId}}/events/vend,1,unknown_false_subscribe,Machine MQTT credentials (broker ACL),"{""schema_version"": 1, ""event_id"": ""{{$guid}}"", ""machine_id"": ""{{machineId}}"", ""dedupe_key"": ""avf-postman-{{$guid}}"", ""event_type"": ""telemetry"", ""payload"": {}}",mqtt-ingest router → JetStream / OLTP theo kênh,HTTP reconcile / application ack (không dùng PUBACK làm business ack),MQTT_TOPIC_LAYOUT legacy,metrics avf_mqtt_ingest_* ; dedupe_key,DESTRUCTIVE_CANARY_ONLY,Legacy device→cloud: events/vend (xem docs/api/mqtt-contract.md),"mosquitto_pub -h ""${MQTT_HOST}"" -p ""${MQTT_PORT:-8883}"" -u ""${MQTT_USERNAME}"" -P ""${MQTT_PASSWORD}"" -i ""${MQTT_CLIENT_ID:-avf-postman}"" -t ""{{mqttTopicPrefix}}/{{machineId}}/events/vend"" -q 1 -m '{""schema_version"": 1, ""event_id"": ""{{$guid}}"", ""machine_id"": ""{{machineId}}"", ""dedupe_key"": ""avf-postman-{{$guid}}"", ""event_type"": ""telemetry"", ""payload"": {}}'","mosquitto_sub -h ""${MQTT_HOST}"" -p ""${MQTT_PORT:-8883}"" -u ""${MQTT_USERNAME}"" -P ""${MQTT_PASSWORD}"" -i ""${MQTT_CLIENT_ID:-avf-postman-sub}"" -t ""{{mqttTopicPrefix}}/{{machineId}}/events/vend"" -q 1 -C 1",mqtt/evidence/006_legacy.log
7,machine_publishes_backend_subscribes,mqtt,legacy,{{mqttTopicPrefix}}/+/events/cash,{{mqttTopicPrefix}}/{{machineId}}/events/cash,1,unknown_false_subscribe,Machine MQTT credentials (broker ACL),"{""schema_version"": 1, ""event_id"": ""{{$guid}}"", ""machine_id"": ""{{machineId}}"", ""dedupe_key"": ""avf-postman-{{$guid}}"", ""event_type"": ""telemetry"", ""payload"": {}}",mqtt-ingest router → JetStream / OLTP theo kênh,HTTP reconcile / application ack (không dùng PUBACK làm business ack),MQTT_TOPIC_LAYOUT legacy,metrics avf_mqtt_ingest_* ; dedupe_key,DESTRUCTIVE_CANARY_ONLY,Legacy device→cloud: events/cash (xem docs/api/mqtt-contract.md),"mosquitto_pub -h ""${MQTT_HOST}"" -p ""${MQTT_PORT:-8883}"" -u ""${MQTT_USERNAME}"" -P ""${MQTT_PASSWORD}"" -i ""${MQTT_CLIENT_ID:-avf-postman}"" -t ""{{mqttTopicPrefix}}/{{machineId}}/events/cash"" -q 1 -m '{""schema_version"": 1, ""event_id"": ""{{$guid}}"", ""machine_id"": ""{{machineId}}"", ""dedupe_key"": ""avf-postman-{{$guid}}"", ""event_type"": ""telemetry"", ""payload"": {}}'","mosquitto_sub -h ""${MQTT_HOST}"" -p ""${MQTT_PORT:-8883}"" -u ""${MQTT_USERNAME}"" -P ""${MQTT_PASSWORD}"" -i ""${MQTT_CLIENT_ID:-avf-postman-sub}"" -t ""{{mqttTopicPrefix}}/{{machineId}}/events/cash"" -q 1 -C 1",mqtt/evidence/007_legacy.log
8,machine_publishes_backend_subscribes,mqtt,legacy,{{mqttTopicPrefix}}/+/events/inventory,{{mqttTopicPrefix}}/{{machineId}}/events/inventory,1,unknown_false_subscribe,Machine MQTT credentials (broker ACL),"{""schema_version"": 1, ""event_id"": ""{{$guid}}"", ""machine_id"": ""{{machineId}}"", ""dedupe_key"": ""avf-postman-{{$guid}}"", ""event_type"": ""telemetry"", ""payload"": {}}",mqtt-ingest router → JetStream / OLTP theo kênh,HTTP reconcile / application ack (không dùng PUBACK làm business ack),MQTT_TOPIC_LAYOUT legacy,metrics avf_mqtt_ingest_* ; dedupe_key,DESTRUCTIVE_CANARY_ONLY,Legacy device→cloud: events/inventory (xem docs/api/mqtt-contract.md),"mosquitto_pub -h ""${MQTT_HOST}"" -p ""${MQTT_PORT:-8883}"" -u ""${MQTT_USERNAME}"" -P ""${MQTT_PASSWORD}"" -i ""${MQTT_CLIENT_ID:-avf-postman}"" -t ""{{mqttTopicPrefix}}/{{machineId}}/events/inventory"" -q 1 -m '{""schema_version"": 1, ""event_id"": ""{{$guid}}"", ""machine_id"": ""{{machineId}}"", ""dedupe_key"": ""avf-postman-{{$guid}}"", ""event_type"": ""telemetry"", ""payload"": {}}'","mosquitto_sub -h ""${MQTT_HOST}"" -p ""${MQTT_PORT:-8883}"" -u ""${MQTT_USERNAME}"" -P ""${MQTT_PASSWORD}"" -i ""${MQTT_CLIENT_ID:-avf-postman-sub}"" -t ""{{mqttTopicPrefix}}/{{machineId}}/events/inventory"" -q 1 -C 1",mqtt/evidence/008_legacy.log
9,machine_publishes_backend_subscribes,mqtt,legacy,{{mqttTopicPrefix}}/+/shadow/reported,{{mqttTopicPrefix}}/{{machineId}}/shadow/reported,1,unknown_false_subscribe,Machine MQTT credentials (broker ACL),"{""schema_version"": 1, ""event_id"": ""{{$guid}}"", ""machine_id"": ""{{machineId}}"", ""dedupe_key"": ""avf-postman-{{$guid}}"", ""event_type"": ""telemetry"", ""payload"": {}}",mqtt-ingest router → JetStream / OLTP theo kênh,HTTP reconcile / application ack (không dùng PUBACK làm business ack),MQTT_TOPIC_LAYOUT legacy,metrics avf_mqtt_ingest_* ; dedupe_key,DESTRUCTIVE_CANARY_ONLY,Legacy device→cloud: shadow/reported (xem docs/api/mqtt-contract.md),"mosquitto_pub -h ""${MQTT_HOST}"" -p ""${MQTT_PORT:-8883}"" -u ""${MQTT_USERNAME}"" -P ""${MQTT_PASSWORD}"" -i ""${MQTT_CLIENT_ID:-avf-postman}"" -t ""{{mqttTopicPrefix}}/{{machineId}}/shadow/reported"" -q 1 -m '{""schema_version"": 1, ""event_id"": ""{{$guid}}"", ""machine_id"": ""{{machineId}}"", ""dedupe_key"": ""avf-postman-{{$guid}}"", ""event_type"": ""telemetry"", ""payload"": {}}'","mosquitto_sub -h ""${MQTT_HOST}"" -p ""${MQTT_PORT:-8883}"" -u ""${MQTT_USERNAME}"" -P ""${MQTT_PASSWORD}"" -i ""${MQTT_CLIENT_ID:-avf-postman-sub}"" -t ""{{mqttTopicPrefix}}/{{machineId}}/shadow/reported"" -q 1 -C 1",mqtt/evidence/009_legacy.log
10,machine_publishes_backend_subscribes,mqtt,legacy,{{mqttTopicPrefix}}/+/shadow/desired,{{mqttTopicPrefix}}/{{machineId}}/shadow/desired,1,unknown_false_subscribe,Machine MQTT credentials (broker ACL),"{""schema_version"": 1, ""event_id"": ""{{$guid}}"", ""machine_id"": ""{{machineId}}"", ""dedupe_key"": ""avf-postman-{{$guid}}"", ""event_type"": ""telemetry"", ""payload"": {}}",mqtt-ingest router → JetStream / OLTP theo kênh,HTTP reconcile / application ack (không dùng PUBACK làm business ack),MQTT_TOPIC_LAYOUT legacy,metrics avf_mqtt_ingest_* ; dedupe_key,DESTRUCTIVE_CANARY_ONLY,Legacy device→cloud: shadow/desired (xem docs/api/mqtt-contract.md),"mosquitto_pub -h ""${MQTT_HOST}"" -p ""${MQTT_PORT:-8883}"" -u ""${MQTT_USERNAME}"" -P ""${MQTT_PASSWORD}"" -i ""${MQTT_CLIENT_ID:-avf-postman}"" -t ""{{mqttTopicPrefix}}/{{machineId}}/shadow/desired"" -q 1 -m '{""schema_version"": 1, ""event_id"": ""{{$guid}}"", ""machine_id"": ""{{machineId}}"", ""dedupe_key"": ""avf-postman-{{$guid}}"", ""event_type"": ""telemetry"", ""payload"": {}}'","mosquitto_sub -h ""${MQTT_HOST}"" -p ""${MQTT_PORT:-8883}"" -u ""${MQTT_USERNAME}"" -P ""${MQTT_PASSWORD}"" -i ""${MQTT_CLIENT_ID:-avf-postman-sub}"" -t ""{{mqttTopicPrefix}}/{{machineId}}/shadow/desired"" -q 1 -C 1",mqtt/evidence/010_legacy.log
