index,package,service,method,fullMethod,requestType,responseType,streamType,clientType,auth,registeredOnListener,listenerBinding,destructiveLevel,requiredVariables,precondition,expectedResult,evidenceToSave,protoFile,grpcurlExample,evidenceRelativePath
1,avf.internal.v1,InternalCatalogQueryService,GetSaleCatalogSnapshot,/avf.internal.v1.InternalCatalogQueryService/GetSaleCatalogSnapshot,GetSaleCatalogSnapshotRequest,GetSaleCatalogSnapshotResponse,unary,admin/internal,admin bearer token,True,internal_grpc_listener,READ_ONLY,grpcHost;grpcPort;accessToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/internal/v1/catalog_query.proto,"jq -c "".[0]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${accessToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.internal.v1.InternalCatalogQueryService/GetSaleCatalogSnapshot""",grpc/evidence/001_InternalCatalogQueryService_GetSaleCatalogSnapshot.json
2,avf.internal.v1,InternalCommerceQueryService,GetOrderPaymentVendState,/avf.internal.v1.InternalCommerceQueryService/GetOrderPaymentVendState,GetOrderPaymentVendStateRequest,GetOrderPaymentVendStateResponse,unary,admin/internal,admin bearer token,True,internal_grpc_listener,READ_ONLY,grpcHost;grpcPort;accessToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/internal/v1/commerce_query.proto,"jq -c "".[1]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${accessToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.internal.v1.InternalCommerceQueryService/GetOrderPaymentVendState""",grpc/evidence/002_InternalCommerceQueryService_GetOrderPaymentVendState.json
3,avf.internal.v1,InternalInventoryQueryService,GetMachineSlotInventory,/avf.internal.v1.InternalInventoryQueryService/GetMachineSlotInventory,GetMachineSlotInventoryRequest,GetMachineSlotInventoryResponse,unary,admin/internal,admin bearer token,True,internal_grpc_listener,READ_ONLY,grpcHost;grpcPort;accessToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/internal/v1/inventory_query.proto,"jq -c "".[2]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${accessToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.internal.v1.InternalInventoryQueryService/GetMachineSlotInventory""",grpc/evidence/003_InternalInventoryQueryService_GetMachineSlotInventory.json
4,avf.internal.v1,InternalMachineQueryService,GetMachineCabinetSlotSummary,/avf.internal.v1.InternalMachineQueryService/GetMachineCabinetSlotSummary,GetMachineCabinetSlotSummaryRequest,GetMachineCabinetSlotSummaryResponse,unary,admin/internal,admin bearer token,True,internal_grpc_listener,READ_ONLY,grpcHost;grpcPort;accessToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/internal/v1/machine_query.proto,"jq -c "".[3]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${accessToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.internal.v1.InternalMachineQueryService/GetMachineCabinetSlotSummary""",grpc/evidence/004_InternalMachineQueryService_GetMachineCabinetSlotSummary.json
5,avf.internal.v1,InternalMachineQueryService,GetMachineState,/avf.internal.v1.InternalMachineQueryService/GetMachineState,GetMachineStateRequest,GetMachineStateResponse,unary,admin/internal,admin bearer token,True,internal_grpc_listener,READ_ONLY,grpcHost;grpcPort;accessToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/internal/v1/machine_query.proto,"jq -c "".[4]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${accessToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.internal.v1.InternalMachineQueryService/GetMachineState""",grpc/evidence/005_InternalMachineQueryService_GetMachineState.json
6,avf.internal.v1,InternalMachineQueryService,GetMachineSummary,/avf.internal.v1.InternalMachineQueryService/GetMachineSummary,GetMachineSummaryRequest,GetMachineSummaryResponse,unary,admin/internal,admin bearer token,True,internal_grpc_listener,READ_ONLY,grpcHost;grpcPort;accessToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/internal/v1/machine_query.proto,"jq -c "".[5]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${accessToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.internal.v1.InternalMachineQueryService/GetMachineSummary""",grpc/evidence/006_InternalMachineQueryService_GetMachineSummary.json
7,avf.internal.v1,InternalPaymentQueryService,GetLatestPaymentForOrder,/avf.internal.v1.InternalPaymentQueryService/GetLatestPaymentForOrder,GetLatestPaymentForOrderRequest,GetLatestPaymentForOrderResponse,unary,admin/internal,admin bearer token,True,internal_grpc_listener,READ_ONLY,grpcHost;grpcPort;accessToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/internal/v1/payment_query.proto,"jq -c "".[6]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${accessToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.internal.v1.InternalPaymentQueryService/GetLatestPaymentForOrder""",grpc/evidence/007_InternalPaymentQueryService_GetLatestPaymentForOrder.json
8,avf.internal.v1,InternalPaymentQueryService,GetPaymentById,/avf.internal.v1.InternalPaymentQueryService/GetPaymentById,GetPaymentByIdRequest,GetPaymentByIdResponse,unary,admin/internal,admin bearer token,True,internal_grpc_listener,READ_ONLY,grpcHost;grpcPort;accessToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/internal/v1/payment_query.proto,"jq -c "".[7]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${accessToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.internal.v1.InternalPaymentQueryService/GetPaymentById""",grpc/evidence/008_InternalPaymentQueryService_GetPaymentById.json
9,avf.internal.v1,InternalReportingQueryService,GetSalesSummary,/avf.internal.v1.InternalReportingQueryService/GetSalesSummary,GetSalesSummaryRequest,GetSalesSummaryResponse,unary,admin/internal,admin bearer token,True,internal_grpc_listener,READ_ONLY,grpcHost;grpcPort;accessToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/internal/v1/reporting_query.proto,"jq -c "".[8]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${accessToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.internal.v1.InternalReportingQueryService/GetSalesSummary""",grpc/evidence/009_InternalReportingQueryService_GetSalesSummary.json
10,avf.internal.v1,InternalTelemetryQueryService,GetLatestMachineTelemetry,/avf.internal.v1.InternalTelemetryQueryService/GetLatestMachineTelemetry,GetLatestMachineTelemetryRequest,GetLatestMachineTelemetryResponse,unary,admin/internal,admin bearer token,True,internal_grpc_listener,READ_ONLY,grpcHost;grpcPort;accessToken,Canary JWT đúng role; internal chỉ từ mạng private listener khi deploy tách.,gRPC OK + payload typed,trailers; correlation metadata,proto/avf/internal/v1/machine_query.proto,"jq -c "".[9]"" postman/full-production-suite/grpc/AVF_GRPC_100_REQUESTS.json | grpcurl ${GRPC_USE_REFLECTION:+-reflect} -plaintext -H ""authorization: Bearer ${accessToken}"" -d @- ""${GRPC_ADDR:-127.0.0.1:9090}"" ""/avf.internal.v1.InternalTelemetryQueryService/GetLatestMachineTelemetry""",grpc/evidence/010_InternalTelemetryQueryService_GetLatestMachineTelemetry.json
