item,expected,actual,status,evidence_file,notes
REST OpenAPI inventory count,327,327,PASS,manifest.json,
REST collection request count,327,327,PASS,AVF_REST_365_FULL.postman_collection.json,
REST matrix count,327,327,PASS,AVF_REST_365_OPERATION_MATRIX.csv,
gRPC inventory count,86,86,PASS,grpc/AVF_GRPC_86_METHOD_MATRIX.csv,
gRPC template count,86,86,PASS,grpc/grpc_request_templates.json,
gRPC matrix count,86,86,PASS,grpc/AVF_GRPC_86_METHOD_MATRIX.csv,
MQTT inventory count,28,28,PASS,mqtt/AVF_MQTT_28_TOPIC_FLOW_MATRIX.csv,
MQTT template count,28,28,PASS,mqtt/mqtt_request_templates.json,
MQTT matrix count,28,28,PASS,mqtt/AVF_MQTT_28_TOPIC_FLOW_MATRIX.csv,
environment variables complete,all keys,see AVF_PRODUCTION.postman_environment.json,PASS,AVF_PRODUCTION.postman_environment.json,
destructive requests gated,disabled + pre-request throw,yes,PASS,AVF_REST_365_FULL.postman_collection.json,
auth token capture present,login script,yes,PASS,AVF_REST_365_FULL.postman_collection.json,
idempotency key header,chỉ khi OpenAPI có header Idempotency-Key,generator resolves $ref,PASS,generate_full_postman_suite.py,
production metrics expected 404 documented,yes,README + execution order,PASS,README_IMPORT_AND_RUN_VI.md,
Swagger JSON test included,GET /swagger/doc.json,yes,PASS,AVF_REST_365_FULL.postman_collection.json,
admin setup flow included,folders 02-07,yes,PASS,AVF_REST_365_FULL.postman_collection.json,
machine activation flow included,folder 04,yes,PASS,AVF_REST_365_FULL.postman_collection.json,
catalog sync flow included,folder 05/11,yes,PASS,AVF_REST_365_FULL.postman_collection.json,
planogram publish flow included,folder 06,yes,PASS,AVF_REST_365_FULL.postman_collection.json,
inventory restock flow included,folder 07,yes,PASS,AVF_REST_365_FULL.postman_collection.json,
cash purchase flow included,folder 08,yes,PASS,AVF_REST_365_FULL.postman_collection.json,
QR/payment webhook flow included,folder 09,yes,PASS,AVF_REST_365_FULL.postman_collection.json,
vend success flow included,folder 08,yes,PASS,AVF_REST_365_FULL.postman_collection.json,
vend failure/refund flow included,folder 08 gated,yes,PASS,AVF_REST_365_FULL.postman_collection.json,
audit/reconciliation/report verification included,folder 13-14,yes,PASS,AVF_REST_365_FULL.postman_collection.json,
negative auth/permission/idempotency tests included,folder 17,partial — reuse gated HTTP requests + manual grpc/mqtt,PARTIAL,05_PRODUCTION_TEST_EXECUTION_ORDER.md,
no secrets in generated files,scan,validator PASS,PASS,validate_generated_assets.py,
REST variable audit Markdown,POSTMAN_VARIABLE_AUDIT_REPORT.md,audit_postman_variables.py,PASS,POSTMAN_VARIABLE_AUDIT_REPORT.md,
zip generated,avf_full_postman_suite.zip,yes,PASS,avf_full_postman_suite.zip,
